id_zam;jmeno;prijmeni;dat_nas;adresa;telefon;mail;dat_nar;id_poz;odmena
INT;CHAR(15);CHAR(20);DATE;VARCHAR(50);INT(9);VARCHAR(40);DATE;INT;MEDIUMINT(6)
PK;NN;NN;NN;NN;ZF NN;;NN;FK NN;US NN
1;Karel;Král;01.01.2015;Na stráni 15, Dìèín;123456789;karel.kral@seznam.cz;12.10.1995;1;15000
2;Eva;Tichá;15.01.2015;Spartakiádní 14, Liberec;789123456;eva.ticha@centrum.cz;07.09.1997;2;8000
3;Jan;Novák;01.02.2015;Krátká 8, Ústí nad Labem;456789123;jan.novak@gmail.com;15.04.1992;3;10000
4;Marek;Plachý;01.02.2015;Pod lesem 79, Teplice;987654321;marek.plachy@seznam.cz;28.02.1989;4;5000
5;Jana;Krátká;01.03.2015;V úvozu 3, Dìèín;654321987;jana.kratka@centrum.cz;21.03.1991;3;8000
6;Adam;Pyšný;01.03.2015;U hradeb 8, Dìèín;987123654;adam.pysny33@seznam.cz;21.03.1994;4;4000
7;Anna;Nová;12.03.2015;Na skøivánku 11/4, Ústí nad Labem;159368742;anickanova@gmail.com;18.09.1998;5;6000
8;Klára;Suchá;01.06.2015;Výstavní 93, Ústí nad Labem;159863742;sucha.klarka@seznam.cz;06.12.1998;6;12000
9;Martin;Ferman;23.06.2015;Nedìlištì 3, Teplice;135798642;fermartin@post.cz;14.08.1990;7;12000
10;Emil;Koneèný;03.08.2015;Sídelní 64/3, Lovosice;246813579;konecnyemilio@gmail.com;16.11.1996;8;9000
